Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD09A1_061_Line_Y_500m,MOD09A1_061_Sample_X_500m,MOD09A1_061_sur_refl_b02,MOD09A1_061_sur_refl_b06,MOD09A1_061_sur_refl_qc_500m,MOD09A1_061_sur_refl_qc_500m_bitmask,MOD09A1_061_sur_refl_qc_500m_MODLAND,MOD09A1_061_sur_refl_qc_500m_MODLAND_Description,MOD09A1_061_sur_refl_qc_500m_band_1_data_quality_four_bit_range,MOD09A1_061_sur_refl_qc_500m_band_1_data_quality_four_bit_range_Description,MOD09A1_061_sur_refl_qc_500m_band_2_data_quality_four_bit_range,MOD09A1_061_sur_refl_qc_500m_band_2_data_quality_four_bit_range_Description,MOD09A1_061_sur_refl_qc_500m_band_3_data_quality_four_bit_range,MOD09A1_061_sur_refl_qc_500m_band_3_data_quality_four_bit_range_Description,MOD09A1_061_sur_refl_qc_500m_band_4_data_quality_four_bit_range,MOD09A1_061_sur_refl_qc_500m_band_4_data_quality_four_bit_range_Description,MOD09A1_061_sur_refl_qc_500m_band_5_data_quality_four_bit_range,MOD09A1_061_sur_refl_qc_500m_band_5_data_quality_four_bit_range_Description,MOD09A1_061_sur_refl_qc_500m_band_6_data_quality_four_bit_range,MOD09A1_061_sur_refl_qc_500m_band_6_data_quality_four_bit_range_Description,MOD09A1_061_sur_refl_qc_500m_band_7_data_quality_four_bit_range,MOD09A1_061_sur_refl_qc_500m_band_7_data_quality_four_bit_range_Description,MOD09A1_061_sur_refl_qc_500m_atmospheric_correction_performed,MOD09A1_061_sur_refl_qc_500m_atmospheric_correction_performed_Description,MOD09A1_061_sur_refl_qc_500m_adjacency_correction_performed,MOD09A1_061_sur_refl_qc_500m_adjacency_correction_performed_Description
TFM,A Corua,43.337386,-8.40003,2012-12-26,h17v04,1599.0,933.0,0.1686,0.1149,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-01-01,h17v04,1599.0,933.0,0.1856,0.1405,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-01-09,h17v04,1599.0,933.0,0.2444,0.18,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-01-17,h17v04,1599.0,933.0,0.2835,0.1818,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-01-25,h17v04,1599.0,933.0,0.2545,0.1491,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-02-02,h17v04,1599.0,933.0,0.3009,0.224,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-02-10,h17v04,1599.0,933.0,0.6025,0.5253,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-02-18,h17v04,1599.0,933.0,0.2564,0.1742,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-02-26,h17v04,1599.0,933.0,0.2199,0.1663,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-03-06,h17v04,1599.0,933.0,0.2609,0.1813,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-03-14,h17v04,1599.0,933.0,0.3546,0.284,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-03-22,h17v04,1599.0,933.0,0.2592,0.1379,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-03-30,h17v04,1599.0,933.0,0.3097,0.1946,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-04-07,h17v04,1599.0,933.0,0.2734,0.2206,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-04-15,h17v04,1599.0,933.0,0.2262,0.1717,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-04-23,h17v04,1599.0,933.0,0.3702,0.2358,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-05-01,h17v04,1599.0,933.0,0.237,0.1795,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-05-09,h17v04,1599.0,933.0,0.2576,0.187,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-05-17,h17v04,1599.0,933.0,0.398,0.2118,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-05-25,h17v04,1599.0,933.0,0.2986,0.2559,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-06-02,h17v04,1599.0,933.0,0.2456,0.1829,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-06-10,h17v04,1599.0,933.0,0.2962,0.2623,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-06-18,h17v04,1599.0,933.0,0.3266,0.281,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-06-26,h17v04,1599.0,933.0,0.2437,0.2017,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-07-04,h17v04,1599.0,933.0,0.2509,0.1991,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-07-12,h17v04,1599.0,933.0,0.2041,0.1932,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-07-20,h17v04,1599.0,933.0,0.3026,0.3223,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-07-28,h17v04,1599.0,933.0,0.3317,0.3206,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-08-05,h17v04,1599.0,933.0,0.2277,0.2441,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-08-13,h17v04,1599.0,933.0,0.2708,0.2648,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-08-21,h17v04,1599.0,933.0,0.2734,0.2795,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-08-29,h17v04,1599.0,933.0,0.1854,0.1942,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-09-06,h17v04,1599.0,933.0,0.183,0.2029,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-09-14,h17v04,1599.0,933.0,0.2027,0.2518,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-09-22,h17v04,1599.0,933.0,0.245,0.258,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-09-30,h17v04,1599.0,933.0,0.237,0.2354,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-10-08,h17v04,1599.0,933.0,0.2561,0.2419,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-10-16,h17v04,1599.0,933.0,0.2292,0.18,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-10-24,h17v04,1599.0,933.0,0.2365,0.1794,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-11-01,h17v04,1599.0,933.0,0.5148,0.4553,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-11-09,h17v04,1599.0,933.0,0.2217,0.1916,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-11-17,h17v04,1599.0,933.0,0.2407,0.1614,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-11-25,h17v04,1599.0,933.0,0.2136,0.1806,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-12-03,h17v04,1599.0,933.0,0.2191,0.1669,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-12-11,h17v04,1599.0,933.0,0.179,0.1629,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-12-19,h17v04,1599.0,933.0,0.2646,0.2158,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2013-12-27,h17v04,1599.0,933.0,0.2435,0.1652,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
TFM,A Corua,43.337386,-8.40003,2014-01-01,h17v04,1599.0,933.0,0.1742,0.1295,1073741824.0,0b01000000000000000000000000000000,0b00,Corrected product produced at ideal quality -- all bands,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b0000,highest quality,0b1,yes,0b0,no
