Ciudad,Fecha,NDBI
A Corua,2012-12-26,-0.16385956201963559
A Corua,2013-01-01,-0.15982092070551893
A Corua,2013-01-09,-0.16953781269191445
A Corua,2013-01-17,-0.2104873188587882
A Corua,2013-01-25,-0.2087408048391227
A Corua,2013-02-02,-0.15870186743521567
A Corua,2013-02-10,-0.13528412425957598
A Corua,2013-02-18,-0.132712156468912
A Corua,2013-02-26,-0.16989788730732283
A Corua,2013-03-06,-0.14311719198017145
A Corua,2013-03-14,-0.19867600059274207
A Corua,2013-03-22,-0.2147520388393078
A Corua,2013-03-30,-0.2135281233325037
A Corua,2013-04-07,-0.15736294640799406
A Corua,2013-04-15,-0.15521128567380646
A Corua,2013-04-23,-0.16560216267237915
A Corua,2013-05-01,-0.1728772740863247
A Corua,2013-05-09,-0.20073188637602202
A Corua,2013-05-17,-0.18038224967733887
A Corua,2013-05-25,-0.17622557149253323
A Corua,2013-06-02,-0.09467633280196842
A Corua,2013-06-10,-0.09402402033388806
A Corua,2013-06-18,-0.07668164483095101
A Corua,2013-06-26,-0.09481924886291491
A Corua,2013-07-04,-0.07894785317197696
A Corua,2013-07-12,-0.037007084873267065
A Corua,2013-07-20,-0.00430895120380118
A Corua,2013-07-28,0.016422941879371045
A Corua,2013-08-05,0.00218046392930182
A Corua,2013-08-13,0.011530279456998421
A Corua,2013-08-21,0.007670881264036553
A Corua,2013-08-29,0.028594265768206843
A Corua,2013-09-06,0.06092695463485076
A Corua,2013-09-14,0.06181449905571584
A Corua,2013-09-22,0.04349625776486185
A Corua,2013-09-30,-0.0020186953368740413
A Corua,2013-10-08,-0.05071187351122967
A Corua,2013-10-16,-0.09534709291612009
A Corua,2013-10-24,-0.10628703520943178
A Corua,2013-11-01,-0.09048498514343224
A Corua,2013-11-09,-0.11045898674682024
A Corua,2013-11-17,-0.1179189759909215
A Corua,2013-11-25,-0.13872054489565097
A Corua,2013-12-03,-0.08867893459861359
A Corua,2013-12-11,-0.09463498931540425
A Corua,2013-12-19,-0.11341829186322742
A Corua,2013-12-27,-0.1467832683392137
A Corua,2014-01-01,-0.17399891939202014
A Corua,2014-01-09,-0.1198947045588886
A Corua,2014-01-17,-0.159786478473852
A Corua,2014-01-25,-0.1541196406158797
A Corua,2014-02-02,-0.2074010690012025
A Corua,2014-02-10,-0.1879630272870549
A Corua,2014-02-18,-0.2043409350727249
A Corua,2014-02-26,-0.1825913705495924
A Corua,2014-03-06,-0.14581567426598993
A Corua,2014-03-14,-0.11659624615858023
A Corua,2014-03-22,-0.112629750106662
A Corua,2014-03-30,-0.11669644173577114
A Corua,2014-04-07,-0.1069940606565986
A Corua,2014-04-15,-0.12169951415789258
A Corua,2014-04-23,-0.1541164821082015
A Corua,2014-05-01,-0.1893385244658673
A Corua,2014-05-09,-0.20428260904267184
A Corua,2014-05-17,-0.18618988401895545
A Corua,2014-05-25,-0.13839211327732806
A Corua,2014-06-02,-0.1160803083843029
A Corua,2014-06-10,-0.09590155222309638
A Corua,2014-06-18,-0.08756863054889046
A Corua,2014-06-26,-0.09693469565757347
A Corua,2014-07-04,-0.10693732337864785
A Corua,2014-07-12,-0.12334283213593557
A Corua,2014-07-20,-0.08768593043338019
A Corua,2014-07-28,-0.0543130156161894
A Corua,2014-08-05,-0.047244739684910886
A Corua,2014-08-13,-0.04281052903449295
A Corua,2014-08-21,-0.03630877492796342
A Corua,2014-08-29,-0.034866870938230064
A Corua,2014-09-06,-0.03238621881920139
A Corua,2014-09-14,-0.0618050797358608
A Corua,2014-09-22,-0.059731469997554854
A Corua,2014-09-30,-0.09662853329511194
A Corua,2014-10-08,-0.09117331736362595
A Corua,2014-10-16,-0.10320609026950582
A Corua,2014-10-24,-0.09161725177077247
A Corua,2014-11-01,-0.1342230256539925
A Corua,2014-11-09,-0.14881119661919065
A Corua,2014-11-17,-0.12980333145699538
A Corua,2014-11-25,-0.12374574991508926
A Corua,2014-12-03,-0.07648255143776093
A Corua,2014-12-11,-0.11463382503824911
A Corua,2014-12-19,-0.09106132036681241
A Corua,2014-12-27,-0.13042934725559605
A Corua,2015-01-01,-0.15451501730134165
A Corua,2015-01-09,-0.14556075580846897
A Corua,2015-01-17,-0.16475924880159123
A Corua,2015-01-25,-0.10736660602125413
A Corua,2015-02-02,-0.10886231257495173
A Corua,2015-02-10,-0.08819214900415073
A Corua,2015-02-18,-0.12081869690185688
A Corua,2015-02-26,-0.12664439863735877
A Corua,2015-03-06,-0.10267873010371732
A Corua,2015-03-14,-0.06673608698784442
A Corua,2015-03-22,-0.04322591345402641
A Corua,2015-03-30,-0.07693744098625137
A Corua,2015-04-07,-0.10842807505097918
A Corua,2015-04-15,-0.14561938938916974
A Corua,2015-04-23,-0.1663600998610015
A Corua,2015-05-01,-0.19485287302786367
A Corua,2015-05-09,-0.21871458375560235
A Corua,2015-05-17,-0.1901886856556875
A Corua,2015-05-25,-0.1873410014539207
A Corua,2015-06-02,-0.16617798962090405
A Corua,2015-06-10,-0.1610461935440869
A Corua,2015-06-18,-0.1153857484732208
A Corua,2015-06-26,-0.07921853264405197
A Corua,2015-07-04,-0.07279500377110663
A Corua,2015-07-12,-0.052286698339200986
A Corua,2015-07-20,-0.04710293631065079
A Corua,2015-07-28,-0.03664414442578922
A Corua,2015-08-05,-0.04332305485968189
A Corua,2015-08-13,-0.0288542571775121
A Corua,2015-08-21,-0.039016246433147446
A Corua,2015-08-29,-0.0432580309208201
A Corua,2015-09-06,-0.10294225980608447
A Corua,2015-09-14,-0.12480279475405076
A Corua,2015-09-22,-0.13880133513994627
A Corua,2015-09-30,-0.13487071177124305
A Corua,2015-10-08,-0.1358245267863307
A Corua,2015-10-16,-0.16240135198059347
A Corua,2015-10-24,-0.1891930134019604
A Corua,2015-11-01,-0.2073483713186368
A Corua,2015-11-09,-0.2514634604091704
A Corua,2015-11-17,-0.21779139341689582
A Corua,2015-11-25,-0.20988738735741072
A Corua,2015-12-03,-0.18856536924244796
A Corua,2015-12-11,-0.1752430771728847
A Corua,2015-12-19,-0.20049901152282415
A Corua,2015-12-27,-0.14443462680349686
A Corua,2016-01-01,-0.18061598338443585
A Corua,2016-01-09,-0.1791374616916812
A Corua,2016-01-17,-0.19659407091331468
A Corua,2016-01-25,-0.17623381523462747
A Corua,2016-02-02,-0.1259607204245269
A Corua,2016-02-10,-0.1635040908274273
A Corua,2016-02-18,-0.16603090085640704
A Corua,2016-02-26,-0.18441410115489568
A Corua,2016-03-05,-0.13831336478075018
A Corua,2016-03-13,-0.13148160535300887
A Corua,2016-03-21,-0.13476695039059008
A Corua,2016-03-29,-0.14651002213366182
