Ciudad,Fecha,NDVI
A Corua,2012-12-18,4.551e-05
A Corua,2013-01-01,3.585e-05
A Corua,2013-01-17,4.332e-05
A Corua,2013-02-02,4.321e-05
A Corua,2013-02-18,4.3100000000000004e-05
A Corua,2013-03-06,5.297e-05
A Corua,2013-03-22,6.284e-05
A Corua,2013-04-07,4.75e-05
A Corua,2013-04-23,3.722e-05
A Corua,2013-05-09,4.5650000000000005e-05
A Corua,2013-05-25,3.685e-05
A Corua,2013-06-10,4.875e-05
A Corua,2013-06-26,4.1120000000000006e-05
A Corua,2013-07-12,4.33e-05
A Corua,2013-07-28,3.09e-05
A Corua,2013-08-13,2.975e-05
A Corua,2013-08-29,2.7900000000000004e-05
A Corua,2013-09-14,2.487e-05
A Corua,2013-09-30,2.803e-05
A Corua,2013-10-16,4.457e-05
A Corua,2013-11-01,5.0915e-05
A Corua,2013-11-17,5.7260000000000004e-05
A Corua,2013-12-03,2.703e-05
A Corua,2013-12-19,5.3689999999999996e-05
A Corua,2014-01-01,8.035e-05
A Corua,2014-01-17,7.839500000000001e-05
A Corua,2014-02-02,7.644e-05
A Corua,2014-02-18,7.1038e-05
A Corua,2014-03-06,6.5636e-05
A Corua,2014-03-22,6.0234000000000006e-05
A Corua,2014-04-07,5.4832000000000006e-05
A Corua,2014-04-23,4.9430000000000006e-05
A Corua,2014-05-09,6.498e-05
A Corua,2014-05-25,4.0060000000000006e-05
A Corua,2014-06-10,2.844e-05
A Corua,2014-06-26,3.502e-05
A Corua,2014-07-12,2.5050000000000002e-05
A Corua,2014-07-28,4.4640000000000006e-05
A Corua,2014-08-13,3.55e-05
A Corua,2014-08-29,2.435e-05
A Corua,2014-09-14,4.599e-05
A Corua,2014-09-30,5.304e-05
A Corua,2014-10-16,4.398e-05
A Corua,2014-11-01,4.3065e-05
A Corua,2014-11-17,4.215e-05
A Corua,2014-12-03,4.249666666666667e-05
A Corua,2014-12-19,4.284333333333334e-05
A Corua,2015-01-01,4.3190000000000005e-05
A Corua,2015-01-17,3.414e-05
A Corua,2015-02-02,2.5090000000000002e-05
A Corua,2015-02-18,5.584e-05
A Corua,2015-03-06,2.8870000000000003e-05
A Corua,2015-03-22,3.283e-05
A Corua,2015-04-07,3.8790000000000006e-05
A Corua,2015-04-23,3.0260000000000005e-05
A Corua,2015-05-09,2.173e-05
A Corua,2015-05-25,3.338e-05
A Corua,2015-06-10,3.1790000000000006e-05
A Corua,2015-06-26,4.029e-05
A Corua,2015-07-12,2.9140000000000002e-05
A Corua,2015-07-28,3.643e-05
A Corua,2015-08-13,3.46e-05
A Corua,2015-08-29,3.215e-05
A Corua,2015-09-14,4.5650000000000005e-05
A Corua,2015-09-30,3.3610000000000005e-05
A Corua,2015-10-16,5.971e-05
A Corua,2015-11-01,5.996e-05
A Corua,2015-11-17,6.021000000000001e-05
A Corua,2015-12-03,6.046000000000001e-05
A Corua,2015-12-19,5.892e-05
A Corua,2016-01-01,3.5340000000000004e-05
