Ciudad,Latitud,Longitud,Altitud (m),Superficie (km²),Distancia_Mar (km),TPI_Factor_Cuenca,poblacion_mediana,pib_mediano,vehiculos_1000_hab_mediana
Madrid,4.041.694,-370.333,660.0,604.45,327.66,14.1,4929861.5,45100.0,437.155
Barcelona,413.825,217.694,30.0,101.35,2.6,-48.24,3657085.0,40400.0,358.775
Bilbao,4.326.306,-2.935,24.0,41.6,8.75,-150.72,790310.0,33650.0,400.76
Sevilla,3.738.861,-599.556,17.0,141.42,53.66,-21.2,879838.0,20100.0,453.71500000000003
Valencia,39.47,-0.37639,23.0,134.65,3.99,-1.72,1398426.5,33300.0,541.76
Valladolid,4.165.198,-472.856,704.0,197.91,193.42,-50.06,299490.0,26650.0,437.405
Murcia,3.798.333,-113.028,56.0,881.86,35.41,-145.54,320220.0,19250.0,286.335
Santa Cruz de Tenerife,2.846.667,-16.25,34.0,150.56,0.47,-237.02,362610.0,20550.0,515.36
A Coruña,4.337.386,-840.003,21.0,37.83,1.06,-5.36,245159.0,23800.0,336.945
Zaragoza,41.65,-0.88333,224.0,973.78,169.66,-191.62,674003.5,28100.0,374.205
Alicante/Alacant,3.834.528,-0.48306,21.0,201.27,0.9,-54.72,334969.5,19550.0,439.80499999999995
Albacete,3.899.556,-185.583,690.0,1125.91,141.7,-81.42,172769.0,20050.0,433.05
