Start,End,C6H6 (ug.m-3),CO (mg.m-3),NO (ug.m-3),NO2 (ug.m-3),NOx (ug.m-3),O3 (ug.m-3),PM10 (ug.m-3),SO2 (ug.m-3),city,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,surface_pressure,cloudcover,windspeed_10m,shortwave_radiation,boundary_layer_height
2009-01-02 11:00:00,2009-01-02 12:00:00,,,,,,7.0,,,,,,,,,,,,,
2009-01-02 12:00:00,2009-01-02 13:00:00,,,,,,14.0,,,,,,,,,,,,,
2009-01-02 13:00:00,2009-01-02 14:00:00,,,,,,26.0,,,,,,,,,,,,,
2009-01-02 14:00:00,2009-01-02 15:00:00,,,,,,30.0,,,,,,,,,,,,,
2009-01-02 15:00:00,2009-01-02 16:00:00,,,,,,30.0,,,,,,,,,,,,,
2009-01-02 16:00:00,2009-01-02 17:00:00,,,,,,17.0,,,,,,,,,,,,,
2009-01-02 17:00:00,2009-01-02 18:00:00,,,,,,7.0,,,,,,,,,,,,,
2009-01-02 18:00:00,2009-01-02 19:00:00,,,,,,13.0,,,,,,,,,,,,,
2009-01-02 19:00:00,2009-01-02 20:00:00,,,,,,13.0,,,,,,,,,,,,,
2009-01-02 20:00:00,2009-01-02 21:00:00,,,,,,15.0,,,,,,,,,,,,,
2009-01-02 21:00:00,2009-01-02 22:00:00,,,,,,6.0,,,,,,,,,,,,,
2009-01-02 22:00:00,2009-01-02 23:00:00,,,,,,6.0,,,,,,,,,,,,,
2009-01-02 23:00:00,2009-01-03 00:00:00,,,,,,6.0,,,,,,,,,,,,,
2009-01-03 00:00:00,2009-01-03 01:00:00,,,,,,4.0,,,,,,,,,,,,,
2009-01-03 01:00:00,2009-01-03 02:00:00,,,,,,3.0,,,,,,,,,,,,,
2009-01-03 02:00:00,2009-01-03 03:00:00,,,,,,4.0,,,,,,,,,,,,,
2009-01-03 03:00:00,2009-01-03 04:00:00,,,,,,4.0,,,,,,,,,,,,,
2009-01-03 04:00:00,2009-01-03 05:00:00,,,,,,3.0,,,,,,,,,,,,,
2009-01-03 05:00:00,2009-01-03 06:00:00,,,,,,4.0,,,,,,,,,,,,,
2009-01-03 06:00:00,2009-01-03 07:00:00,,,,,,3.0,,,,,,,,,,,,,
2009-01-03 07:00:00,2009-01-03 08:00:00,,,,,,2.0,,,,,,,,,,,,,
2009-01-03 08:00:00,2009-01-03 09:00:00,,,,,,2.0,,,,,,,,,,,,,
2009-01-03 09:00:00,2009-01-03 10:00:00,,,,,,4.0,,,,,,,,,,,,,
2009-01-03 10:00:00,2009-01-03 11:00:00,,,,,,4.0,,,,,,,,,,,,,
2009-01-03 11:00:00,2009-01-03 12:00:00,,,,,,7.0,,,,,,,,,,,,,
2009-01-03 12:00:00,2009-01-03 13:00:00,,,,,,7.0,,,,,,,,,,,,,
2009-01-03 13:00:00,2009-01-03 14:00:00,,,,,,9.0,,,,,,,,,,,,,
2009-01-03 14:00:00,2009-01-03 15:00:00,,,,,,15.0,,,,,,,,,,,,,
2009-01-03 15:00:00,2009-01-03 16:00:00,,,,,,23.0,,,,,,,,,,,,,
2009-01-03 16:00:00,2009-01-03 17:00:00,,,,,,20.0,,,,,,,,,,,,,
2009-01-03 17:00:00,2009-01-03 18:00:00,,,,,,15.0,,,,,,,,,,,,,
2009-01-03 18:00:00,2009-01-03 19:00:00,,,,,,10.0,,,,,,,,,,,,,
2009-01-03 19:00:00,2009-01-03 20:00:00,,,,,,9.0,,,,,,,,,,,,,
2009-01-03 20:00:00,2009-01-03 21:00:00,,,,,,10.0,,,,,,,,,,,,,
2009-01-03 21:00:00,2009-01-03 22:00:00,,,,,,5.0,,,,,,,,,,,,,
2009-01-03 22:00:00,2009-01-03 23:00:00,,,,,,5.0,,,,,,,,,,,,,
2009-01-03 23:00:00,2009-01-04 00:00:00,,,,,,7.0,,,,,,,,,,,,,
2009-01-04 00:00:00,2009-01-04 01:00:00,,,,,,4.0,,,,,,,,,,,,,
2009-01-04 01:00:00,2009-01-04 02:00:00,,,,,,9.0,,,,,,,,,,,,,
2009-01-04 02:00:00,2009-01-04 03:00:00,,,,,,10.0,,,,,,,,,,,,,
2009-01-04 03:00:00,2009-01-04 04:00:00,,,,,,10.0,,,,,,,,,,,,,
2009-01-04 04:00:00,2009-01-04 05:00:00,,,,,,15.0,,,,,,,,,,,,,
2009-01-04 05:00:00,2009-01-04 06:00:00,,,,,,15.0,,,,,,,,,,,,,
2009-01-04 06:00:00,2009-01-04 07:00:00,,,,,,8.0,,,,,,,,,,,,,
2009-01-04 07:00:00,2009-01-04 08:00:00,,,,,,4.0,,,,,,,,,,,,,
2009-01-04 08:00:00,2009-01-04 09:00:00,,,,,,3.0,,,,,,,,,,,,,
2009-01-04 09:00:00,2009-01-04 10:00:00,,,,,,5.0,,,,,,,,,,,,,
2009-01-04 10:00:00,2009-01-04 11:00:00,,,,,,10.0,,,,,,,,,,,,,
2009-01-04 11:00:00,2009-01-04 12:00:00,,,,,,22.0,,,,,,,,,,,,,
2009-01-04 12:00:00,2009-01-04 13:00:00,,,,,,20.0,,,,,,,,,,,,,
2009-01-04 13:00:00,2009-01-04 14:00:00,,,,,,32.0,,,,,,,,,,,,,
2009-01-04 14:00:00,2009-01-04 15:00:00,,,,,,23.0,,,,,,,,,,,,,
2009-01-04 15:00:00,2009-01-04 16:00:00,,,,,,34.0,,,,,,,,,,,,,
2009-01-04 16:00:00,2009-01-04 17:00:00,,,,,,39.0,,,,,,,,,,,,,
2009-01-04 17:00:00,2009-01-04 18:00:00,,,,,,23.0,,,,,,,,,,,,,
2009-01-04 18:00:00,2009-01-04 19:00:00,,,,,,11.0,,,,,,,,,,,,,
2009-01-04 19:00:00,2009-01-04 20:00:00,,,,,,12.0,,,,,,,,,,,,,
2009-01-04 20:00:00,2009-01-04 21:00:00,,,,,,8.0,,,,,,,,,,,,,
2009-01-04 21:00:00,2009-01-04 22:00:00,,,,,,6.0,,,,,,,,,,,,,
