Start,End,CO (mg.m-3),NO (ug.m-3),NO2 (ug.m-3),NOx (ug.m-3),O3 (ug.m-3),PM10 (ug.m-3),SO2 (ug.m-3),city,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,surface_pressure,cloudcover,windspeed_10m,shortwave_radiation,boundary_layer_height,NDVI,NDBI
2013-01-01 00:00:00,2013-01-01 01:00:00,,,27.0,,18.8,,,,2.3,87.0,0.0,0.0,0.0,939.0,100.0,15.4,0.0,500.0,0.1149,0.141385
2013-01-01 01:00:00,2013-01-01 02:00:00,,,27.0,,9.75,,,,2.8,90.0,0.0,0.0,0.0,938.3,100.0,15.4,0.0,480.0,0.1149,0.141359
2013-01-01 02:00:00,2013-01-01 03:00:00,,,32.0,,10.3,,,,2.9,91.0,0.0,0.0,0.0,937.8,100.0,15.9,0.0,510.0,0.114899,0.141331
2013-01-01 03:00:00,2013-01-01 04:00:00,,,36.0,,17.0,,,,3.5,90.0,0.0,0.0,0.0,937.5,100.0,16.2,0.0,540.0,0.114898,0.1413
2013-01-01 04:00:00,2013-01-01 05:00:00,,,43.5,,35.3,,,,3.6,91.0,0.3,0.3,0.0,937.4,100.0,16.9,0.0,590.0,0.114897,0.141269
2013-01-01 05:00:00,2013-01-01 06:00:00,,,24.0,,27.3,,,,3.8,93.0,0.6,0.6,0.0,937.5,100.0,16.2,0.0,620.0,0.114895,0.141235
2013-01-01 06:00:00,2013-01-01 07:00:00,,,26.0,,27.0,,,,4.0,94.0,0.5,0.5,0.0,937.6,100.0,15.4,0.0,630.0,0.114893,0.1412
2013-01-01 07:00:00,2013-01-01 08:00:00,,,23.0,,24.5,,,,4.3,93.0,0.3,0.3,0.0,938.1,100.0,14.7,0.0,635.0,0.11489,0.141163
2013-01-01 08:00:00,2013-01-01 09:00:00,,,29.0,,36.3,,,,4.4,93.0,0.1,0.1,0.0,938.3,100.0,15.2,2.0,610.0,0.114887,0.141124
2013-01-01 09:00:00,2013-01-01 10:00:00,,,27.0,,51.5,,,,4.7,92.0,0.0,0.0,0.0,939.0,100.0,15.6,26.0,585.0,0.114884,0.141083
