Start,End,C6H6 (ug.m-3),CO (mg.m-3),NO (ug.m-3),NO2 (ug.m-3),NOx (ug.m-3),O3 (ug.m-3),PM10 (ug.m-3),SO2 (ug.m-3),city,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,surface_pressure,cloudcover,windspeed_10m,shortwave_radiation,boundary_layer_height,NDVI,NDBI
2013-01-01 00:00:00,2013-01-01 01:00:00,,,,,,20.33,,,,7.9,89.0,0.0,0.0,0.0,1017.8,93.0,7.1,0.0,60.0,0.1338,0.0965
2013-01-01 01:00:00,2013-01-01 02:00:00,0.9,0.45,54.0,52.5,18.0,12.33,24.0,1.33,,7.4,89.0,0.0,0.0,0.0,1017.0,100.0,7.8,0.0,70.0,0.133828,0.0965
2013-01-01 02:00:00,2013-01-01 03:00:00,1.3,0.3,43.5,39.75,16.0,26.33,12.0,1.33,,7.0,87.0,0.0,0.0,0.0,1016.4,100.0,7.8,0.0,85.0,0.133857,0.096502
2013-01-01 03:00:00,2013-01-01 04:00:00,1.2,0.15,36.5,24.25,4.5,36.33,6.0,1.0,,7.0,84.0,0.0,0.0,0.0,1015.8,100.0,8.0,0.0,100.0,0.133886,0.096504
2013-01-01 04:00:00,2013-01-01 05:00:00,1.1,0.2,45.0,32.0,9.5,43.67,5.0,0.67,,7.8,75.0,0.0,0.0,0.0,1015.5,100.0,9.7,0.0,190.0,0.133914,0.096507
2013-01-01 05:00:00,2013-01-01 06:00:00,1.0,0.15,25.0,16.25,2.0,50.33,5.0,0.67,,8.6,70.0,0.0,0.0,0.0,1015.5,100.0,11.0,0.0,270.0,0.133943,0.096511
2013-01-01 06:00:00,2013-01-01 07:00:00,0.9,0.05,16.0,10.5,1.0,60.67,4.0,0.33,,9.1,71.0,0.0,0.0,0.0,1015.5,99.0,11.8,0.0,340.0,0.133972,0.096516
2013-01-01 07:00:00,2013-01-01 08:00:00,0.8,0.0,6.5,5.75,1.0,67.33,6.0,0.67,,9.5,70.0,0.0,0.0,0.0,1015.8,99.0,12.4,0.0,425.0,0.134001,0.096522
2013-01-01 08:00:00,2013-01-01 09:00:00,1.0,0.05,7.0,6.0,1.0,68.33,6.0,0.0,,10.0,71.0,0.0,0.0,0.0,1015.8,100.0,13.6,10.0,555.0,0.134031,0.096529
2013-01-01 09:00:00,2013-01-01 10:00:00,0.6,0.0,6.5,5.75,0.5,66.67,7.0,0.0,,10.9,70.0,0.0,0.0,0.0,1016.2,100.0,14.1,68.0,600.0,0.13406,0.096537
2013-01-01 10:00:00,2013-01-01 11:00:00,0.4,0.05,9.5,7.0,1.0,64.0,4.0,0.33,,11.7,68.0,0.0,0.0,0.0,1016.4,96.0,13.6,114.0,565.0,0.13409,0.096546
2013-01-01 11:00:00,2013-01-01 12:00:00,0.4,0.05,6.5,4.75,1.0,68.33,2.0,0.0,,12.4,65.0,0.0,0.0,0.0,1015.9,91.0,15.8,144.0,600.0,0.134119,0.096555
2013-01-01 12:00:00,2013-01-01 13:00:00,0.4,0.15,7.5,5.5,1.5,73.33,1.0,0.0,,13.5,61.0,0.0,0.0,0.0,1015.4,58.0,15.5,260.0,725.0,0.134149,0.096565
2013-01-01 13:00:00,2013-01-01 14:00:00,0.3,0.2,9.0,6.25,2.0,73.0,1.0,0.0,,14.3,57.0,0.0,0.0,0.0,1014.7,17.0,13.8,319.0,835.0,0.134179,0.096577
2013-01-01 14:00:00,2013-01-01 15:00:00,0.3,0.1,7.5,5.25,1.5,74.33,1.0,0.33,,14.9,54.0,0.0,0.0,0.0,1014.7,3.0,12.1,362.0,1005.0,0.134209,0.096589
