Start,End,C6H6 (ug.m-3),CO (mg.m-3),NO (ug.m-3),NO2 (ug.m-3),NOx (ug.m-3),O3 (ug.m-3),PM10 (ug.m-3),SO2 (ug.m-3),boundary_layer_height,cloudcover,precipitation,rain,relative_humidity_2m,shortwave_radiation,snowfall,surface_pressure,temperature_2m,windspeed_10m,NDVI,NDBI
2013-01-01 00:00:00,2013-01-01 01:00:00,,,,14.0,,15.67,,,305.0,100.0,0.8,0.8,96.0,0.0,0.0,942.4,3.3,9.5,0.0979,0.08865
2013-01-01 01:00:00,2013-01-01 02:00:00,1.03,0.42,34.55,37.99,15.45,13.24,23.95,3.6,270.0,97.0,0.6,0.6,96.0,0.0,0.0,941.6,3.2,8.4,0.0979,0.08863
2013-01-01 02:00:00,2013-01-01 03:00:00,0.93,0.32,31.9,29.23,10.06,17.52,14.84,3.4,205.0,95.0,0.3,0.3,96.0,0.0,0.0,941.2,3.2,7.1,0.0979,0.088611
2013-01-01 03:00:00,2013-01-01 04:00:00,0.64,0.32,23.55,19.0,5.26,25.62,10.84,3.0,150.0,94.0,0.0,0.0,96.0,0.0,0.0,940.9,3.4,6.1,0.0979,0.088591
2013-01-01 04:00:00,2013-01-01 05:00:00,0.53,0.28,16.68,13.24,3.1,34.1,7.42,3.0,110.0,86.0,0.0,0.0,96.0,0.0,0.0,940.8,3.4,5.6,0.097901,0.088572
2013-01-01 05:00:00,2013-01-01 06:00:00,0.46,0.28,14.97,12.3,3.1,33.52,6.74,3.0,110.0,92.0,0.0,0.0,96.0,0.0,0.0,940.8,3.6,5.6,0.097901,0.088553
2013-01-01 06:00:00,2013-01-01 07:00:00,0.49,0.28,17.19,14.3,3.9,32.81,7.68,2.8,100.0,96.0,0.0,0.0,96.0,0.0,0.0,941.0,3.6,5.1,0.097902,0.088534
2013-01-01 07:00:00,2013-01-01 08:00:00,0.51,0.3,17.97,15.13,4.35,34.52,8.05,3.0,90.0,88.0,0.0,0.0,95.0,0.0,0.0,941.1,3.6,4.4,0.097903,0.088516
2013-01-01 08:00:00,2013-01-01 09:00:00,0.6,0.28,18.45,15.38,4.13,33.62,8.89,2.8,75.0,67.0,0.0,0.0,95.0,1.0,0.0,941.5,3.7,4.1,0.097903,0.088498
2013-01-01 09:00:00,2013-01-01 10:00:00,0.53,0.32,18.45,16.56,4.03,34.05,9.47,3.0,110.0,65.0,0.0,0.0,93.0,54.0,0.0,942.5,4.5,4.7,0.097904,0.08848
2013-01-01 10:00:00,2013-01-01 11:00:00,0.59,0.34,17.94,15.94,4.16,35.67,9.68,3.6,260.0,57.0,0.0,0.0,88.0,131.0,0.0,943.6,5.8,5.0,0.097905,0.088462
2013-01-01 11:00:00,2013-01-01 12:00:00,0.59,0.32,20.97,20.34,6.71,34.33,11.16,4.6,450.0,83.0,0.0,0.0,79.0,231.0,0.0,944.0,7.3,5.7,0.097906,0.088445
2013-01-01 12:00:00,2013-01-01 13:00:00,0.67,0.34,23.06,23.34,8.55,35.05,12.47,4.4,955.0,99.0,0.0,0.0,71.0,324.0,0.0,943.9,8.4,8.5,0.097908,0.088427
2013-01-01 13:00:00,2013-01-01 14:00:00,0.74,0.32,24.77,25.22,11.13,36.71,12.47,5.2,1210.0,82.0,0.0,0.0,62.0,320.0,0.0,943.4,9.5,8.6,0.097909,0.08841
2013-01-01 14:00:00,2013-01-01 15:00:00,0.71,0.34,28.16,27.61,13.19,38.05,12.63,6.2,1215.0,56.0,0.0,0.0,57.0,280.0,0.0,943.0,10.0,5.8,0.09791,0.088393
2013-01-01 15:00:00,2013-01-01 16:00:00,0.74,0.34,29.42,27.01,10.68,38.62,14.42,6.8,1345.0,66.0,0.0,0.0,54.0,214.0,0.0,943.5,10.3,7.4,0.097912,0.088377
2013-01-01 16:00:00,2013-01-01 17:00:00,0.67,0.36,33.39,27.69,9.03,35.48,12.0,6.6,1205.0,75.0,0.0,0.0,55.0,142.0,0.0,943.5,10.0,3.5,0.097914,0.088361
2013-01-01 17:00:00,2013-01-01 18:00:00,0.87,0.44,46.39,38.93,14.06,21.33,15.95,10.2,235.0,84.0,0.0,0.0,62.0,33.0,0.0,943.8,9.2,4.9,0.097915,0.088344
2013-01-01 18:00:00,2013-01-01 19:00:00,1.13,0.52,64.9,67.08,38.19,8.24,17.16,6.8,35.0,76.0,0.0,0.0,72.0,0.0,0.0,943.8,7.5,4.8,0.097917,0.088328
2013-01-01 19:00:00,2013-01-01 20:00:00,1.34,0.6,73.13,89.6,61.32,4.29,21.79,5.8,35.0,62.0,0.0,0.0,77.0,0.0,0.0,943.5,5.9,6.0,0.097919,0.088313
2013-01-01 20:00:00,2013-01-01 21:00:00,1.67,0.76,78.84,114.75,89.03,4.43,26.42,6.8,35.0,61.0,0.0,0.0,82.0,0.0,0.0,943.5,4.6,6.5,0.097921,0.088297
2013-01-01 21:00:00,2013-01-01 22:00:00,1.67,0.72,74.65,109.36,86.16,4.19,22.84,6.2,30.0,41.0,0.0,0.0,86.0,0.0,0.0,943.6,3.4,5.5,0.097923,0.088282
2013-01-01 22:00:00,2013-01-01 23:00:00,1.5,0.7,70.13,108.97,86.39,4.9,21.42,5.8,35.0,43.0,0.0,0.0,87.0,0.0,0.0,944.6,2.9,6.5,0.097926,0.088267
2013-01-01 23:00:00,2013-01-02 00:00:00,1.54,0.74,63.39,100.56,81.9,4.48,19.89,6.4,30.0,87.0,0.0,0.0,87.0,0.0,0.0,944.6,2.7,6.1,0.097928,0.088252
2013-01-02 00:00:00,2013-01-02 01:00:00,1.53,0.72,56.74,97.55,82.16,4.43,20.53,6.4,30.0,92.0,0.0,0.0,88.0,0.0,0.0,945.2,2.6,6.1,0.09793,0.088237
2013-01-02 01:00:00,2013-01-02 02:00:00,1.51,0.58,48.16,82.51,69.29,5.9,16.63,5.6,35.0,92.0,0.0,0.0,90.0,0.0,0.0,945.3,2.2,5.9,0.097933,0.088223
2013-01-02 02:00:00,2013-01-02 03:00:00,1.41,0.58,42.06,70.19,58.03,7.76,15.0,5.6,35.0,97.0,0.0,0.0,91.0,0.0,0.0,945.3,2.1,5.4,0.097936,0.088209
