Start,End,C6H6 (ug.m-3),CO (mg.m-3),NO (ug.m-3),NO2 (ug.m-3),NOx (ug.m-3),O3 (ug.m-3),PM10 (ug.m-3),SO2 (ug.m-3),city,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,surface_pressure,cloudcover,windspeed_10m,shortwave_radiation,boundary_layer_height,NDVI,NDBI
2013-01-01 00:00:00,2013-01-01 01:00:00,,,,,,18.0,,,,4.2,98.0,0.0,0.0,0.0,1014.1,100.0,4.8,0.0,20.0,0.1762,0.074087
2013-01-01 01:00:00,2013-01-01 02:00:00,,1.9,68.0,196.0,84.0,14.0,146.0,,,3.7,97.0,0.0,0.0,0.0,1013.4,100.0,4.4,0.0,20.0,0.1762,0.074081
2013-01-01 02:00:00,2013-01-01 03:00:00,,1.5,57.0,148.0,59.0,12.0,130.0,,,3.2,97.0,0.0,0.0,0.0,1012.8,100.0,4.4,0.0,25.0,0.176201,0.074075
2013-01-01 03:00:00,2013-01-01 04:00:00,,1.4,50.0,137.0,57.0,11.0,113.0,,,3.4,95.0,0.0,0.0,0.0,1012.1,99.0,4.9,0.0,30.0,0.176203,0.074069
2013-01-01 04:00:00,2013-01-01 05:00:00,,1.3,45.0,128.0,54.0,10.0,102.0,,,3.5,93.0,0.0,0.0,0.0,1011.9,100.0,6.4,0.0,35.0,0.176205,0.074063
2013-01-01 05:00:00,2013-01-01 06:00:00,,1.0,38.0,86.0,31.0,9.0,85.0,,,4.1,89.0,0.0,0.0,0.0,1012.0,100.0,6.7,0.0,35.0,0.176208,0.074057
2013-01-01 06:00:00,2013-01-01 07:00:00,,0.7,36.0,64.0,18.0,7.0,63.0,,,4.8,86.0,0.0,0.0,0.0,1012.2,100.0,6.8,0.0,40.0,0.176212,0.074052
2013-01-01 07:00:00,2013-01-01 08:00:00,,0.6,36.0,75.0,26.0,6.0,54.0,,,5.2,83.0,0.0,0.0,0.0,1012.5,100.0,7.2,0.0,40.0,0.176216,0.074046
2013-01-01 08:00:00,2013-01-01 09:00:00,,0.5,33.0,63.0,20.0,7.0,49.0,,,6.1,81.0,0.0,0.0,0.0,1012.7,99.0,8.2,5.0,55.0,0.176221,0.074041
2013-01-01 09:00:00,2013-01-01 10:00:00,,0.5,29.0,60.0,20.0,8.0,51.0,,,7.6,78.0,0.0,0.0,0.0,1013.2,100.0,9.3,56.0,115.0,0.176227,0.074035
2013-01-01 10:00:00,2013-01-01 11:00:00,,0.4,26.0,47.0,13.0,15.0,49.0,,,9.4,74.0,0.0,0.0,0.0,1013.5,95.0,9.5,97.0,235.0,0.176233,0.07403
2013-01-01 11:00:00,2013-01-01 12:00:00,,0.4,27.0,44.0,11.0,23.0,45.0,,,11.4,67.0,0.0,0.0,0.0,1013.1,42.0,12.2,202.0,665.0,0.17624,0.074025
2013-01-01 12:00:00,2013-01-01 13:00:00,,0.3,26.0,42.0,11.0,38.0,26.0,,,13.3,60.0,0.0,0.0,0.0,1012.3,14.0,16.9,337.0,925.0,0.176247,0.07402
2013-01-01 13:00:00,2013-01-01 14:00:00,,0.2,22.0,35.0,9.0,60.0,15.0,,,14.5,54.0,0.0,0.0,0.0,1011.5,11.0,19.1,372.0,1100.0,0.176255,0.074015
2013-01-01 14:00:00,2013-01-01 15:00:00,,0.2,21.0,32.0,8.0,66.0,14.0,,,15.0,50.0,0.0,0.0,0.0,1011.4,9.0,19.4,409.0,1160.0,0.176264,0.07401
2013-01-01 15:00:00,2013-01-01 16:00:00,,0.2,16.0,24.0,5.0,73.0,12.0,,,14.9,49.0,0.0,0.0,0.0,1012.0,4.0,19.3,314.0,1190.0,0.176273,0.074005
2013-01-01 16:00:00,2013-01-01 17:00:00,,0.2,20.0,29.0,6.0,69.0,11.0,,,14.3,50.0,0.0,0.0,0.0,1012.3,2.0,14.9,189.0,1085.0,0.176283,0.074
2013-01-01 17:00:00,2013-01-01 18:00:00,,0.2,34.0,46.0,8.0,58.0,11.0,,,12.7,54.0,0.0,0.0,0.0,1013.1,5.0,12.7,42.0,725.0,0.176294,0.073995
2013-01-01 18:00:00,2013-01-01 19:00:00,,0.3,39.0,51.0,8.0,48.0,12.0,,,11.6,56.0,0.0,0.0,0.0,1014.0,4.0,13.5,0.0,620.0,0.176305,0.073991
2013-01-01 19:00:00,2013-01-01 20:00:00,,0.3,40.0,56.0,10.0,45.0,12.0,,,11.0,58.0,0.0,0.0,0.0,1014.5,27.0,12.9,0.0,535.0,0.176316,0.073986
2013-01-01 20:00:00,2013-01-01 21:00:00,,0.4,55.0,80.0,16.0,35.0,13.0,,,10.3,60.0,0.0,0.0,0.0,1014.4,72.0,13.0,0.0,460.0,0.176329,0.073981
2013-01-01 21:00:00,2013-01-01 22:00:00,,0.4,56.0,78.0,15.0,28.0,17.0,,,9.8,62.0,0.0,0.0,0.0,1014.9,96.0,12.4,0.0,405.0,0.176342,0.073977
2013-01-01 22:00:00,2013-01-01 23:00:00,,0.4,57.0,77.0,13.0,27.0,19.0,,,9.4,64.0,0.0,0.0,0.0,1015.1,71.0,11.0,0.0,315.0,0.176355,0.073973
2013-01-01 23:00:00,2013-01-02 00:00:00,,0.5,59.0,81.0,15.0,24.0,18.0,,,8.9,66.0,0.0,0.0,0.0,1015.1,13.0,10.2,0.0,225.0,0.176369,0.073968
2013-01-02 00:00:00,2013-01-02 01:00:00,,0.3,24.0,31.0,5.0,46.0,16.0,,,8.4,68.0,0.0,0.0,0.0,1015.4,11.0,9.9,0.0,165.0,0.176384,0.073964
2013-01-02 01:00:00,2013-01-02 02:00:00,,0.3,23.0,29.0,4.0,46.0,15.0,,,8.1,69.0,0.0,0.0,0.0,1015.7,1.0,10.6,0.0,180.0,0.176399,0.07396
2013-01-02 02:00:00,2013-01-02 03:00:00,,0.3,20.0,25.0,3.0,44.0,15.0,,,7.8,71.0,0.0,0.0,0.0,1015.7,1.0,10.6,0.0,220.0,0.176415,0.073956
2013-01-02 03:00:00,2013-01-02 04:00:00,,0.2,17.0,22.0,3.0,47.0,14.0,,,7.5,72.0,0.0,0.0,0.0,1015.8,44.0,10.8,0.0,225.0,0.176432,0.073952
2013-01-02 04:00:00,2013-01-02 05:00:00,,0.2,13.0,18.0,4.0,53.0,14.0,,,7.3,73.0,0.0,0.0,0.0,1016.1,73.0,11.5,0.0,250.0,0.176449,0.073948
2013-01-02 05:00:00,2013-01-02 06:00:00,,0.2,28.0,38.0,7.0,38.0,14.0,,,7.0,74.0,0.0,0.0,0.0,1015.8,41.0,10.1,0.0,205.0,0.176466,0.073944
2013-01-02 06:00:00,2013-01-02 07:00:00,,0.2,41.0,65.0,16.0,28.0,14.0,,,6.9,75.0,0.0,0.0,0.0,1016.3,38.0,10.3,0.0,180.0,0.176485,0.073941
2013-01-02 07:00:00,2013-01-02 08:00:00,,0.3,56.0,106.0,33.0,25.0,14.0,,,7.1,76.0,0.0,0.0,0.0,1017.0,65.0,10.5,0.0,185.0,0.176503,0.073937
2013-01-02 08:00:00,2013-01-02 09:00:00,,0.4,78.0,169.0,60.0,14.0,17.0,,,7.3,76.0,0.0,0.0,0.0,1017.5,56.0,10.8,16.0,190.0,0.176523,0.073933
2013-01-02 09:00:00,2013-01-02 10:00:00,,0.3,71.0,144.0,48.0,17.0,17.0,,,9.3,70.0,0.0,0.0,0.0,1017.8,88.0,12.2,143.0,360.0,0.176543,0.07393
2013-01-02 10:00:00,2013-01-02 11:00:00,,0.3,50.0,92.0,28.0,29.0,17.0,,,11.5,60.0,0.0,0.0,0.0,1018.1,86.0,13.6,283.0,565.0,0.176563,0.073926
2013-01-02 11:00:00,2013-01-02 12:00:00,,0.3,39.0,70.0,20.0,38.0,13.0,,,13.1,53.0,0.0,0.0,0.0,1017.4,85.0,16.5,387.0,875.0,0.176584,0.073923
2013-01-02 12:00:00,2013-01-02 13:00:00,,0.3,42.0,77.0,23.0,43.0,6.0,,,14.3,47.0,0.0,0.0,0.0,1016.7,41.0,16.8,434.0,1115.0,0.176605,0.073919
2013-01-02 13:00:00,2013-01-02 14:00:00,,0.2,39.0,70.0,21.0,51.0,6.0,,,15.2,43.0,0.0,0.0,0.0,1015.9,12.0,15.1,485.0,1385.0,0.176627,0.073916
2013-01-02 14:00:00,2013-01-02 15:00:00,,0.3,32.0,55.0,15.0,61.0,5.0,,,15.6,41.0,0.0,0.0,0.0,1016.1,63.0,15.8,443.0,1795.0,0.17665,0.073913
