Start,End,C6H6 (ug.m-3),CO (mg.m-3),NO (ug.m-3),NO2 (ug.m-3),NOx (ug.m-3),O3 (ug.m-3),PM10 (ug.m-3),SO2 (ug.m-3),city,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,surface_pressure,cloudcover,windspeed_10m,shortwave_radiation,boundary_layer_height,NDVI,NDBI
2013-01-01 00:00:00,2013-01-01 01:00:00,,,,,,16.83,,,,8.7,89.0,0.6,0.6,0.0,1020.8,96.0,5.5,0.0,65.0,0.1473,0.071881
2013-01-01 01:00:00,2013-01-01 02:00:00,6.0,0.67,35.57,64.14,18.57,8.0,,4.5,,8.4,92.0,0.3,0.3,0.0,1020.2,99.0,6.1,0.0,60.0,0.1473,0.071881
2013-01-01 02:00:00,2013-01-01 03:00:00,4.0,0.61,35.71,57.29,14.0,9.17,,4.33,,8.7,93.0,0.3,0.3,0.0,1019.9,97.0,6.1,0.0,65.0,0.147298,0.071882
2013-01-01 03:00:00,2013-01-01 04:00:00,6.0,0.54,35.14,50.14,9.71,11.33,,4.0,,9.1,94.0,0.1,0.1,0.0,1019.2,100.0,4.9,0.0,80.0,0.147296,0.071884
2013-01-01 04:00:00,2013-01-01 05:00:00,4.0,0.47,20.14,25.21,3.29,24.17,,4.0,,9.4,94.0,0.0,0.0,0.0,1018.8,91.0,4.3,0.0,80.0,0.147294,0.071886
2013-01-01 05:00:00,2013-01-01 06:00:00,4.0,0.4,11.86,15.87,2.57,39.83,,4.0,,9.2,95.0,0.2,0.2,0.0,1018.6,100.0,4.2,0.0,45.0,0.14729,0.071889
2013-01-01 06:00:00,2013-01-01 07:00:00,4.0,0.41,12.0,15.93,2.57,36.67,,4.0,,9.3,95.0,0.0,0.0,0.0,1018.6,98.0,2.6,0.0,35.0,0.147286,0.071893
2013-01-01 07:00:00,2013-01-01 08:00:00,3.0,0.45,14.43,19.16,3.0,24.33,,3.67,,9.1,96.0,0.0,0.0,0.0,1019.0,100.0,1.5,0.0,35.0,0.147281,0.071897
2013-01-01 08:00:00,2013-01-01 09:00:00,3.0,0.45,14.86,19.73,3.14,23.5,,3.83,,9.5,95.0,0.4,0.4,0.0,1019.1,100.0,3.2,1.0,45.0,0.147275,0.071901
2013-01-01 09:00:00,2013-01-01 10:00:00,2.0,0.42,15.86,23.87,5.14,25.67,,3.83,,10.0,95.0,0.3,0.3,0.0,1019.6,100.0,5.0,25.0,80.0,0.147268,0.071907
2013-01-01 10:00:00,2013-01-01 11:00:00,3.0,0.4,11.43,19.0,4.86,28.67,,3.83,,10.9,91.0,0.0,0.0,0.0,1020.4,93.0,6.5,74.0,190.0,0.147261,0.071913
2013-01-01 11:00:00,2013-01-01 12:00:00,2.0,0.39,8.43,14.39,3.71,38.67,,4.33,,11.8,87.0,0.0,0.0,0.0,1020.7,96.0,8.8,135.0,390.0,0.147252,0.071919
