Start,End,C6H6 (ug.m-3),CO (mg.m-3),NO (ug.m-3),NO2 (ug.m-3),NOx (ug.m-3),O3 (ug.m-3),PM10 (ug.m-3),SO2 (ug.m-3),boundary_layer_height,cloudcover,precipitation,rain,relative_humidity_2m,shortwave_radiation,snowfall,surface_pressure,temperature_2m,windspeed_10m,NDVI,NDBI
2013-01-01 00:00:00,2013-01-01 01:00:00,,,,,,49.11,,,550.0,100.0,0.0,0.0,64.0,0.0,0.0,1015.6,8.4,20.9,0.0918,0.087109
2013-01-01 01:00:00,2013-01-01 02:00:00,,0.2,30.57,21.6,4.29,43.44,10.25,2.29,495.0,100.0,0.0,0.0,65.0,0.0,0.0,1014.8,8.3,20.2,0.0918,0.08711
2013-01-01 02:00:00,2013-01-01 03:00:00,,0.15,22.71,17.1,3.29,45.0,9.25,2.14,470.0,100.0,0.0,0.0,65.0,0.0,0.0,1014.3,8.3,19.9,0.091801,0.087111
2013-01-01 03:00:00,2013-01-01 04:00:00,,0.15,18.71,14.93,3.57,43.67,8.5,1.86,455.0,100.0,0.0,0.0,65.0,0.0,0.0,1013.9,8.4,20.1,0.091801,0.087114
2013-01-01 04:00:00,2013-01-01 05:00:00,,0.15,24.57,18.17,4.29,39.44,8.75,1.57,435.0,100.0,0.0,0.0,65.0,0.0,0.0,1013.7,8.5,20.3,0.091802,0.087118
2013-01-01 05:00:00,2013-01-01 06:00:00,,0.15,15.57,12.29,2.86,46.11,8.25,1.71,415.0,99.0,0.0,0.0,66.0,0.0,0.0,1013.8,8.5,19.4,0.091804,0.087123
2013-01-01 06:00:00,2013-01-01 07:00:00,,0.15,9.29,8.52,2.57,52.11,7.0,1.86,410.0,99.0,0.1,0.1,68.0,0.0,0.0,1014.0,8.7,18.7,0.091805,0.087129
2013-01-01 07:00:00,2013-01-01 08:00:00,,0.15,12.71,10.79,2.43,48.0,8.25,1.71,410.0,100.0,0.2,0.2,68.0,0.0,0.0,1014.6,9.2,18.4,0.091807,0.087136
2013-01-01 08:00:00,2013-01-01 09:00:00,,0.15,16.57,13.43,2.71,40.67,8.5,1.43,390.0,100.0,0.2,0.2,72.0,5.0,0.0,1015.0,9.3,17.9,0.091809,0.087145
2013-01-01 09:00:00,2013-01-01 10:00:00,,0.15,16.43,13.74,3.71,41.33,8.25,1.43,375.0,100.0,0.1,0.1,75.0,33.0,0.0,1015.6,9.6,16.7,0.091812,0.087154
2013-01-01 10:00:00,2013-01-01 11:00:00,,0.2,13.57,13.14,5.0,42.56,7.5,1.0,385.0,75.0,0.0,0.0,74.0,100.0,0.0,1015.6,10.4,16.1,0.091815,0.087164
2013-01-01 11:00:00,2013-01-01 12:00:00,,0.2,14.43,13.95,5.57,46.22,7.25,1.0,505.0,53.0,0.0,0.0,71.0,138.0,0.0,1015.5,11.4,15.4,0.091818,0.087175
2013-01-01 12:00:00,2013-01-01 13:00:00,,0.2,13.14,11.4,4.86,54.33,5.25,1.0,695.0,31.0,0.0,0.0,64.0,216.0,0.0,1014.6,12.9,12.9,0.091821,0.087188
2013-01-01 13:00:00,2013-01-01 14:00:00,,0.15,11.67,8.17,2.17,59.67,4.25,1.29,955.0,19.0,0.0,0.0,58.0,238.0,0.0,1014.0,14.1,10.1,0.091825,0.087201
2013-01-01 14:00:00,2013-01-01 15:00:00,,0.15,11.43,8.33,2.43,61.78,4.0,1.43,1245.0,8.0,0.0,0.0,50.0,347.0,0.0,1014.0,15.5,8.1,0.091829,0.087215
2013-01-01 15:00:00,2013-01-01 16:00:00,,0.15,9.71,8.24,3.57,62.67,3.75,1.0,1380.0,5.0,0.0,0.0,48.0,297.0,0.0,1014.3,16.0,6.0,0.091833,0.087231
2013-01-01 16:00:00,2013-01-01 17:00:00,,0.15,11.71,11.26,5.71,59.56,4.25,0.86,185.0,7.0,0.0,0.0,52.0,157.0,0.0,1014.4,15.3,2.3,0.091837,0.087247
2013-01-01 17:00:00,2013-01-01 18:00:00,,0.15,25.0,19.52,7.86,50.0,5.5,0.71,45.0,30.0,0.0,0.0,62.0,29.0,0.0,1015.2,13.2,4.6,0.091842,0.087264
2013-01-01 18:00:00,2013-01-01 19:00:00,,0.15,31.0,22.0,6.71,43.0,6.0,1.14,40.0,24.0,0.0,0.0,67.0,0.0,0.0,1015.9,11.0,7.5,0.091847,0.087282
2013-01-01 19:00:00,2013-01-01 20:00:00,,0.15,59.57,40.57,10.57,27.0,8.5,1.29,55.0,28.0,0.0,0.0,69.0,0.0,0.0,1016.6,10.2,9.0,0.091852,0.087301
2013-01-01 20:00:00,2013-01-01 21:00:00,,0.25,77.43,55.81,18.43,16.78,11.5,1.86,80.0,54.0,0.0,0.0,69.0,0.0,0.0,1017.0,9.6,12.0,0.091858,0.087321
2013-01-01 21:00:00,2013-01-01 22:00:00,,0.25,58.29,41.86,12.86,23.11,9.75,1.29,105.0,17.0,0.0,0.0,66.0,0.0,0.0,1017.6,9.4,13.2,0.091864,0.087342
2013-01-01 22:00:00,2013-01-01 23:00:00,,0.25,41.71,28.43,6.57,29.0,8.0,1.29,90.0,22.0,0.0,0.0,65.0,0.0,0.0,1017.6,9.2,12.4,0.09187,0.087364
2013-01-01 23:00:00,2013-01-02 00:00:00,,0.2,25.86,17.6,3.57,37.67,6.25,1.0,115.0,2.0,0.0,0.0,67.0,0.0,0.0,1018.0,9.0,13.8,0.091876,0.087386
2013-01-02 00:00:00,2013-01-02 01:00:00,,0.2,22.0,16.45,4.43,37.78,6.25,1.14,135.0,0.0,0.0,0.0,69.0,0.0,0.0,1018.6,8.8,14.3,0.091883,0.08741
2013-01-02 01:00:00,2013-01-02 02:00:00,,0.2,18.71,14.19,4.14,40.44,5.75,1.14,145.0,2.0,0.0,0.0,71.0,0.0,0.0,1018.7,8.6,14.1,0.09189,0.087434
2013-01-02 02:00:00,2013-01-02 03:00:00,,0.15,17.29,12.98,3.57,45.0,6.25,1.0,160.0,42.0,0.0,0.0,73.0,0.0,0.0,1018.6,8.4,14.1,0.091897,0.08746
2013-01-02 03:00:00,2013-01-02 04:00:00,,0.15,18.71,14.95,5.29,38.33,5.5,1.29,180.0,76.0,0.0,0.0,75.0,0.0,0.0,1019.1,8.2,14.1,0.091905,0.087486
2013-01-02 04:00:00,2013-01-02 05:00:00,,0.15,19.71,18.14,8.29,31.0,6.25,0.71,185.0,35.0,0.0,0.0,75.0,0.0,0.0,1019.0,8.2,13.6,0.091913,0.087512
2013-01-02 05:00:00,2013-01-02 06:00:00,,0.15,31.71,26.31,10.86,23.33,7.0,1.0,205.0,25.0,0.0,0.0,74.0,0.0,0.0,1019.2,8.3,12.8,0.091921,0.08754
2013-01-02 06:00:00,2013-01-02 07:00:00,,0.15,46.57,47.52,28.0,18.0,10.25,2.14,235.0,22.0,0.0,0.0,73.0,0.0,0.0,1019.7,8.4,12.9,0.091929,0.087569
2013-01-02 07:00:00,2013-01-02 08:00:00,,0.15,65.86,81.45,59.29,13.33,14.0,3.29,250.0,14.0,0.0,0.0,74.0,0.0,0.0,1020.1,8.2,11.9,0.091937,0.087598
2013-01-02 08:00:00,2013-01-02 09:00:00,,0.25,80.71,124.74,104.71,11.67,20.5,5.86,265.0,81.0,0.0,0.0,73.0,15.0,0.0,1020.4,8.3,11.9,0.091946,0.087628
2013-01-02 09:00:00,2013-01-02 10:00:00,,0.2,69.43,72.69,44.71,16.56,17.5,3.57,435.0,83.0,0.0,0.0,69.0,133.0,0.0,1020.5,9.8,11.6,0.091955,0.087659
2013-01-02 10:00:00,2013-01-02 11:00:00,,0.2,55.0,49.5,21.71,29.56,18.0,2.71,650.0,53.0,0.0,0.0,58.0,256.0,0.0,1020.9,12.2,9.5,0.091965,0.08769
2013-01-02 11:00:00,2013-01-02 12:00:00,,0.2,32.5,26.0,9.83,47.78,12.75,1.71,985.0,13.0,0.0,0.0,48.0,379.0,0.0,1020.5,14.0,9.9,0.091974,0.087722
2013-01-02 12:00:00,2013-01-02 13:00:00,,0.1,15.29,14.4,7.0,63.33,7.0,1.29,1280.0,12.0,0.0,0.0,44.0,458.0,0.0,1020.1,15.2,10.1,0.091984,0.087755
2013-01-02 13:00:00,2013-01-02 14:00:00,,0.1,25.83,23.67,11.83,55.33,11.0,1.43,1365.0,31.0,0.0,0.0,41.0,460.0,0.0,1019.4,15.8,8.5,0.091994,0.087789
2013-01-02 14:00:00,2013-01-02 15:00:00,,0.15,30.71,25.33,10.71,54.11,9.5,2.43,1330.0,20.0,0.0,0.0,41.0,377.0,0.0,1019.4,15.8,6.1,0.092004,0.087824
2013-01-02 15:00:00,2013-01-02 16:00:00,,0.15,32.29,24.79,9.43,55.0,9.5,3.29,940.0,61.0,0.0,0.0,43.0,290.0,0.0,1019.3,15.4,3.8,0.092015,0.087859
2013-01-02 16:00:00,2013-01-02 17:00:00,,0.15,41.14,30.43,9.86,47.89,13.5,2.86,670.0,75.0,0.0,0.0,52.0,161.0,0.0,1019.6,14.4,1.9,0.092026,0.087894
2013-01-02 17:00:00,2013-01-02 18:00:00,,0.15,69.57,55.45,23.14,29.11,16.0,3.86,95.0,46.0,0.0,0.0,62.0,27.0,0.0,1020.6,12.7,1.8,0.092037,0.087931
2013-01-02 18:00:00,2013-01-02 19:00:00,,0.25,106.29,103.19,58.43,7.25,28.75,4.0,55.0,13.0,0.0,0.0,62.0,0.0,0.0,1021.3,12.1,4.5,0.092048,0.087968
2013-01-02 19:00:00,2013-01-02 20:00:00,,0.35,123.14,168.05,128.71,5.88,38.25,6.29,65.0,1.0,0.0,0.0,80.0,0.0,0.0,1022.1,8.7,7.6,0.09206,0.088006
2013-01-02 20:00:00,2013-01-02 21:00:00,,0.6,133.29,229.62,200.71,5.5,44.0,9.43,65.0,3.0,0.0,0.0,83.0,0.0,0.0,1022.8,7.9,6.9,0.092072,0.088044
2013-01-02 21:00:00,2013-01-02 22:00:00,,0.7,134.71,252.17,230.14,7.12,36.0,11.57,55.0,13.0,0.0,0.0,82.0,0.0,0.0,1023.7,7.7,6.9,0.092084,0.088083
2013-01-02 22:00:00,2013-01-02 23:00:00,,0.4,121.43,204.05,177.0,6.88,48.5,9.14,45.0,9.0,0.0,0.0,80.0,0.0,0.0,1024.3,7.6,5.9,0.092096,0.088123
2013-01-02 23:00:00,2013-01-03 00:00:00,,0.35,96.29,149.26,122.57,9.25,24.0,7.86,55.0,3.0,0.0,0.0,79.0,0.0,0.0,1025.1,7.3,7.1,0.092109,0.088163
2013-01-03 00:00:00,2013-01-03 01:00:00,,0.3,70.83,81.67,52.83,15.5,20.75,4.57,75.0,5.0,0.0,0.0,77.0,0.0,0.0,1025.7,7.0,10.5,0.092122,0.088203
2013-01-03 01:00:00,2013-01-03 02:00:00,,0.2,50.0,45.55,21.86,21.33,12.5,3.0,90.0,3.0,0.0,0.0,75.0,0.0,0.0,1026.0,6.9,12.3,0.092135,0.088245
