Start,End,C6H6 (ug.m-3),CO (mg.m-3),NO (ug.m-3),NO2 (ug.m-3),NOx (ug.m-3),O3 (ug.m-3),PM10 (ug.m-3),SO2 (ug.m-3),city,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,surface_pressure,cloudcover,windspeed_10m,shortwave_radiation,boundary_layer_height,NDVI,NDBI
2013-01-01 00:00:00,2013-01-01 01:00:00,,,,,,45.75,,,,5.6,96.0,0.0,0.0,0.0,935.2,100.0,19.5,0.0,685.0,0.1107,0.092278
2013-01-01 01:00:00,2013-01-01 02:00:00,,0.1,15.2,14.8,3.8,48.25,12.0,6.0,,5.8,97.0,0.0,0.0,0.0,935.3,100.0,19.4,0.0,600.0,0.1107,0.092348
2013-01-01 02:00:00,2013-01-01 03:00:00,,0.1,11.0,10.46,3.2,52.0,6.0,6.0,,5.8,98.0,0.0,0.0,0.0,935.3,100.0,18.3,0.0,545.0,0.110701,0.092418
2013-01-01 03:00:00,2013-01-01 04:00:00,,0.1,4.8,4.53,1.2,58.5,5.5,5.0,,5.9,99.0,0.0,0.0,0.0,935.3,100.0,16.2,0.0,485.0,0.110702,0.092487
2013-01-01 04:00:00,2013-01-01 05:00:00,,0.1,5.2,6.07,1.6,61.0,6.25,5.0,,5.9,99.0,0.0,0.0,0.0,935.7,100.0,15.3,0.0,480.0,0.110703,0.092557
2013-01-01 05:00:00,2013-01-01 06:00:00,,0.1,6.8,6.14,1.4,62.5,4.75,4.0,,5.8,100.0,0.0,0.0,0.0,935.7,98.0,13.7,0.0,510.0,0.110705,0.092626
2013-01-01 06:00:00,2013-01-01 07:00:00,,0.1,10.4,8.4,1.8,59.0,4.25,5.0,,5.7,99.0,0.0,0.0,0.0,936.0,89.0,11.9,0.0,475.0,0.110708,0.092695
2013-01-01 07:00:00,2013-01-01 08:00:00,,0.1,12.4,10.2,2.2,55.75,7.25,5.0,,5.4,99.0,0.0,0.0,0.0,936.4,77.0,11.6,0.0,470.0,0.11071,0.092764
2013-01-01 08:00:00,2013-01-01 09:00:00,,0.1,12.2,10.18,2.6,57.0,7.25,5.0,,4.8,99.0,0.0,0.0,0.0,937.0,88.0,10.2,0.0,290.0,0.110713,0.092832
2013-01-01 09:00:00,2013-01-01 10:00:00,,0.1,8.2,6.34,2.0,59.0,4.75,5.0,,4.9,97.0,0.0,0.0,0.0,938.0,59.0,12.3,50.0,335.0,0.110717,0.092901
2013-01-01 10:00:00,2013-01-01 11:00:00,,0.1,10.2,9.43,3.2,60.75,5.75,5.0,,5.9,88.0,0.0,0.0,0.0,938.5,30.0,13.0,171.0,455.0,0.110721,0.092969
