Start,End,C6H6 (ug.m-3),CO (mg.m-3),NO (ug.m-3),NO2 (ug.m-3),NOx (ug.m-3),O3 (ug.m-3),PM10 (ug.m-3),SO2 (ug.m-3),boundary_layer_height,cloudcover,precipitation,rain,relative_humidity_2m,shortwave_radiation,snowfall,surface_pressure,temperature_2m,windspeed_10m,NDVI,NDBI
2013-01-01 00:00:00,2013-01-01 01:00:00,,,,,,,,,40.0,100.0,0.4,0.4,82.0,0.0,0.0,990.7,4.7,5.6,0.0751,0.086452
2013-01-01 01:00:00,2013-01-01 02:00:00,,0.32,41.31,57.5,16.59,9.37,23.21,3.04,25.0,99.0,0.8,0.8,85.0,0.0,0.0,990.3,4.6,3.4,0.0751,0.086453
2013-01-01 02:00:00,2013-01-01 03:00:00,,0.45,48.47,88.33,26.16,4.73,28.24,3.53,20.0,100.0,0.8,0.8,88.0,0.0,0.0,989.8,4.6,2.7,0.075102,0.086456
2013-01-01 03:00:00,2013-01-01 04:00:00,,0.37,36.86,63.0,17.01,2.28,37.22,2.78,25.0,100.0,0.5,0.5,88.0,0.0,0.0,989.7,5.2,2.9,0.075104,0.086461
2013-01-01 04:00:00,2013-01-01 05:00:00,,0.36,32.38,55.67,15.12,4.95,39.04,2.46,40.0,99.0,0.4,0.4,86.0,0.0,0.0,989.6,5.8,4.3,0.075106,0.086468
2013-01-01 05:00:00,2013-01-01 06:00:00,,0.28,30.44,51.67,13.79,5.15,25.8,2.78,60.0,88.0,0.3,0.3,86.0,0.0,0.0,989.6,6.0,4.7,0.07511,0.086478
2013-01-01 06:00:00,2013-01-01 07:00:00,,0.26,25.1,34.67,6.16,6.18,18.41,2.31,80.0,88.0,0.0,0.0,88.0,0.0,0.0,989.7,5.9,5.8,0.075115,0.086489
2013-01-01 07:00:00,2013-01-01 08:00:00,,0.2,20.77,25.33,3.16,14.17,19.46,2.11,100.0,87.0,0.0,0.0,86.0,0.0,0.0,990.1,6.3,6.8,0.07512,0.086503
2013-01-01 08:00:00,2013-01-01 09:00:00,,0.19,20.18,26.67,4.26,16.7,17.24,2.09,115.0,39.0,0.0,0.0,86.0,3.0,0.0,990.6,6.6,8.0,0.075126,0.086518
2013-01-01 09:00:00,2013-01-01 10:00:00,,0.19,17.31,24.0,4.38,20.24,21.71,1.92,220.0,17.0,0.0,0.0,83.0,84.0,0.0,991.6,7.7,11.5,0.075133,0.086536
2013-01-01 10:00:00,2013-01-01 11:00:00,,0.18,15.92,23.33,4.84,26.97,14.59,2.29,630.0,13.0,0.0,0.0,77.0,210.0,0.0,992.2,9.5,12.3,0.07514,0.086555
2013-01-01 11:00:00,2013-01-01 12:00:00,,0.18,13.39,20.33,4.63,37.33,10.86,2.46,1005.0,9.0,0.0,0.0,70.0,344.0,0.0,992.3,10.9,16.3,0.075149,0.086576
2013-01-01 12:00:00,2013-01-01 13:00:00,,0.18,13.03,18.33,3.44,42.91,14.9,2.58,1140.0,39.0,0.0,0.0,64.0,390.0,0.0,992.0,11.6,25.1,0.075158,0.086599
2013-01-01 13:00:00,2013-01-01 14:00:00,,0.19,14.9,22.33,4.77,44.99,10.18,2.72,1270.0,71.0,0.0,0.0,62.0,334.0,0.0,991.5,12.0,27.2,0.075168,0.086625
2013-01-01 14:00:00,2013-01-01 15:00:00,,0.19,14.47,20.0,3.72,56.05,10.66,2.58,1280.0,47.0,0.0,0.0,59.0,292.0,0.0,991.8,12.3,22.4,0.075178,0.086651
2013-01-01 15:00:00,2013-01-01 16:00:00,,0.18,15.62,20.0,2.91,54.64,10.2,2.51,1275.0,22.0,0.0,0.0,62.0,218.0,0.0,992.1,12.1,20.2,0.07519,0.08668
2013-01-01 16:00:00,2013-01-01 17:00:00,,0.18,14.78,19.67,3.24,58.24,12.34,2.56,1095.0,19.0,0.0,0.0,67.0,131.0,0.0,992.4,11.3,17.6,0.075202,0.086711
2013-01-01 17:00:00,2013-01-01 18:00:00,,0.19,18.44,24.33,3.69,53.49,8.17,2.24,775.0,62.0,0.0,0.0,73.0,20.0,0.0,993.0,9.9,15.3,0.075215,0.086743
2013-01-01 18:00:00,2013-01-01 19:00:00,,0.2,24.0,30.0,3.92,50.5,12.36,2.21,665.0,85.0,0.0,0.0,77.0,0.0,0.0,993.4,8.9,15.3,0.075228,0.086777
2013-01-01 19:00:00,2013-01-01 20:00:00,,0.22,29.98,37.33,4.73,40.07,7.48,2.08,560.0,49.0,0.0,0.0,77.0,0.0,0.0,994.0,8.6,14.8,0.075243,0.086813
2013-01-01 20:00:00,2013-01-01 21:00:00,,0.26,36.96,45.33,5.34,27.95,8.64,2.11,490.0,66.0,0.0,0.0,79.0,0.0,0.0,994.4,8.0,14.4,0.075258,0.086851
2013-01-01 21:00:00,2013-01-01 22:00:00,,0.22,29.15,35.0,3.62,32.82,12.11,2.08,560.0,75.0,0.0,0.0,81.0,0.0,0.0,995.0,7.9,15.0,0.075274,0.08689
2013-01-01 22:00:00,2013-01-01 23:00:00,,0.21,23.38,27.67,2.7,38.42,8.64,2.08,470.0,70.0,0.0,0.0,81.0,0.0,0.0,995.1,8.0,13.2,0.07529,0.086931
2013-01-01 23:00:00,2013-01-02 00:00:00,,0.16,18.14,21.33,2.03,42.03,6.22,2.04,570.0,54.0,0.0,0.0,82.0,0.0,0.0,995.6,7.8,15.6,0.075308,0.086973
2013-01-02 00:00:00,2013-01-02 01:00:00,,0.18,15.75,18.67,1.77,41.96,14.4,1.88,655.0,39.0,0.0,0.0,81.0,0.0,0.0,996.1,7.8,17.7,0.075326,0.087018
2013-01-02 01:00:00,2013-01-02 02:00:00,,0.17,13.77,16.0,1.48,44.47,5.62,1.81,700.0,64.0,0.0,0.0,82.0,0.0,0.0,996.3,7.5,18.7,0.075344,0.087063
2013-01-02 02:00:00,2013-01-02 03:00:00,,0.16,12.12,14.67,1.55,49.47,7.9,1.8,750.0,56.0,0.0,0.0,82.0,0.0,0.0,996.6,7.1,19.8,0.075364,0.087111
2013-01-02 03:00:00,2013-01-02 04:00:00,,0.15,10.9,14.0,2.15,59.22,4.77,1.72,780.0,84.0,0.0,0.0,83.0,0.0,0.0,997.0,6.7,20.0,0.075384,0.08716
2013-01-02 04:00:00,2013-01-02 05:00:00,,0.13,10.92,14.0,2.12,66.54,7.4,1.7,785.0,79.0,0.0,0.0,83.0,0.0,0.0,996.9,6.5,21.3,0.075405,0.08721
2013-01-02 05:00:00,2013-01-02 06:00:00,,0.14,11.36,14.0,1.71,67.37,7.9,2.06,780.0,71.0,0.0,0.0,84.0,0.0,0.0,997.2,6.5,20.9,0.075427,0.087262
2013-01-02 06:00:00,2013-01-02 07:00:00,,0.14,14.42,17.67,2.18,64.77,8.16,1.95,785.0,79.0,0.0,0.0,85.0,0.0,0.0,997.6,6.5,20.9,0.075449,0.087316
2013-01-02 07:00:00,2013-01-02 08:00:00,,0.15,17.18,21.0,2.41,64.11,6.53,1.82,775.0,88.0,0.0,0.0,85.0,0.0,0.0,998.0,6.9,21.9,0.075472,0.087371
2013-01-02 08:00:00,2013-01-02 09:00:00,,0.17,22.4,28.33,3.77,59.19,7.64,2.02,750.0,78.0,0.0,0.0,84.0,5.0,0.0,998.4,7.1,23.0,0.075495,0.087427
2013-01-02 09:00:00,2013-01-02 10:00:00,,0.17,21.46,27.67,4.16,62.11,5.86,2.08,930.0,72.0,0.0,0.0,81.0,67.0,0.0,998.9,7.7,25.9,0.07552,0.087485
2013-01-02 10:00:00,2013-01-02 11:00:00,,0.16,19.21,25.67,4.3,65.11,7.08,2.19,1180.0,80.0,0.0,0.0,75.0,196.0,0.0,998.8,8.7,27.3,0.075545,0.087544
2013-01-02 11:00:00,2013-01-02 12:00:00,,0.17,19.24,26.0,4.47,67.0,5.95,2.22,1260.0,59.0,0.0,0.0,70.0,272.0,0.0,998.7,9.3,31.6,0.075571,0.087605
2013-01-02 12:00:00,2013-01-02 13:00:00,,0.17,16.91,23.0,4.14,71.72,13.78,2.25,1225.0,15.0,0.0,0.0,64.0,354.0,0.0,998.1,10.0,32.8,0.075597,0.087667
2013-01-02 13:00:00,2013-01-02 14:00:00,,0.17,17.87,24.67,4.49,73.17,3.66,2.28,1175.0,27.0,0.0,0.0,61.0,369.0,0.0,997.9,10.4,34.9,0.075624,0.08773
2013-01-02 14:00:00,2013-01-02 15:00:00,,0.15,15.81,20.67,3.28,79.44,5.62,2.35,1140.0,21.0,0.0,0.0,60.0,342.0,0.0,998.1,10.2,35.6,0.075652,0.087795
2013-01-02 15:00:00,2013-01-02 16:00:00,,0.14,15.77,21.0,3.36,80.09,4.22,1.99,1055.0,37.0,0.0,0.0,61.0,250.0,0.0,998.1,9.7,35.6,0.07568,0.087861
2013-01-02 16:00:00,2013-01-02 17:00:00,,0.14,18.44,23.67,3.53,75.95,5.24,2.18,975.0,46.0,0.0,0.0,62.0,132.0,0.0,998.4,9.0,34.4,0.075709,0.087928
2013-01-02 17:00:00,2013-01-02 18:00:00,,0.14,19.7,24.33,3.21,73.57,4.03,2.16,905.0,13.0,0.0,0.0,64.0,21.0,0.0,999.2,7.9,33.4,0.075738,0.087997
2013-01-02 18:00:00,2013-01-02 19:00:00,,0.15,24.45,30.67,3.93,67.03,10.32,2.24,825.0,14.0,0.0,0.0,66.0,0.0,0.0,999.8,7.2,33.3,0.075769,0.088067
2013-01-02 19:00:00,2013-01-02 20:00:00,,0.17,25.22,31.67,4.16,64.7,9.41,2.4,760.0,8.0,0.0,0.0,68.0,0.0,0.0,1000.6,6.9,33.3,0.0758,0.088138
2013-01-02 20:00:00,2013-01-02 21:00:00,,0.16,25.36,31.33,3.8,63.58,6.68,2.67,720.0,0.0,0.0,0.0,69.0,0.0,0.0,1000.9,6.5,32.6,0.075831,0.08821
2013-01-02 21:00:00,2013-01-02 22:00:00,,0.16,22.21,27.0,3.18,64.53,12.64,2.38,675.0,2.0,0.0,0.0,71.0,0.0,0.0,1001.6,6.1,30.3,0.075863,0.088283
2013-01-02 22:00:00,2013-01-02 23:00:00,,0.16,19.28,23.33,2.59,65.52,5.84,2.2,565.0,1.0,0.0,0.0,72.0,0.0,0.0,1001.5,5.8,26.2,0.075896,0.088357
2013-01-02 23:00:00,2013-01-03 00:00:00,,0.14,16.06,18.67,1.9,67.52,11.62,2.03,560.0,1.0,0.0,0.0,73.0,0.0,0.0,1002.4,5.4,23.5,0.07593,0.088433
2013-01-03 00:00:00,2013-01-03 01:00:00,,0.14,13.08,15.33,1.43,69.05,7.78,1.92,515.0,1.0,0.0,0.0,74.0,0.0,0.0,1002.8,5.1,21.1,0.075964,0.08851
2013-01-03 01:00:00,2013-01-03 02:00:00,,0.13,10.51,12.33,1.36,71.42,9.3,1.82,495.0,1.0,0.0,0.0,75.0,0.0,0.0,1003.2,4.7,20.1,0.075998,0.088587
2013-01-03 02:00:00,2013-01-03 03:00:00,,0.12,9.39,11.33,1.27,71.05,11.96,1.76,490.0,1.0,0.0,0.0,76.0,0.0,0.0,1003.8,4.4,19.4,0.076034,0.088666
2013-01-03 03:00:00,2013-01-03 04:00:00,,0.13,10.03,12.0,1.3,68.87,4.74,1.78,470.0,1.0,0.0,0.0,77.0,0.0,0.0,1004.4,4.1,17.6,0.076069,0.088746
2013-01-03 04:00:00,2013-01-03 05:00:00,,0.13,11.48,13.33,1.25,64.97,13.84,1.78,410.0,1.0,0.0,0.0,78.0,0.0,0.0,1004.7,3.8,15.3,0.076106,0.088827
2013-01-03 05:00:00,2013-01-03 06:00:00,,0.14,12.8,14.67,1.31,62.4,10.02,1.78,325.0,0.0,0.0,0.0,80.0,0.0,0.0,1005.6,3.5,12.7,0.076143,0.088908
2013-01-03 06:00:00,2013-01-03 07:00:00,,0.15,18.01,21.0,1.91,55.79,7.26,2.1,235.0,1.0,0.0,0.0,81.0,0.0,0.0,1006.3,3.1,10.3,0.076181,0.088991
2013-01-03 07:00:00,2013-01-03 08:00:00,,0.19,36.0,43.33,4.79,35.79,7.2,1.94,175.0,1.0,0.0,0.0,83.0,0.0,0.0,1007.1,3.3,9.6,0.076219,0.089075
2013-01-03 08:00:00,2013-01-03 09:00:00,,0.31,60.14,171.0,72.42,21.83,10.14,2.12,150.0,0.0,0.0,0.0,85.0,7.0,0.0,1008.1,2.9,9.1,0.076258,0.089159
2013-01-03 09:00:00,2013-01-03 10:00:00,,0.35,61.23,150.67,58.43,16.65,12.42,2.19,195.0,0.0,0.0,0.0,82.0,106.0,0.0,1009.1,4.2,10.7,0.076297,0.089245
2013-01-03 10:00:00,2013-01-03 11:00:00,,0.28,54.29,124.0,45.64,18.94,15.52,2.28,270.0,0.0,0.0,0.0,71.0,247.0,0.0,1009.7,6.6,9.1,0.076337,0.089331
2013-01-03 11:00:00,2013-01-03 12:00:00,,0.34,63.18,154.33,59.43,13.06,13.32,2.92,360.0,0.0,0.0,0.0,65.0,356.0,0.0,1010.0,8.1,7.8,0.076378,0.089418
2013-01-03 12:00:00,2013-01-03 13:00:00,,0.3,54.58,112.33,37.74,21.94,18.51,3.34,440.0,0.0,0.0,0.0,60.0,421.0,0.0,1010.1,9.3,5.8,0.076419,0.089506
2013-01-03 13:00:00,2013-01-03 14:00:00,,0.23,38.39,63.0,16.14,40.17,13.55,2.58,500.0,0.0,0.0,0.0,57.0,430.0,0.0,1009.6,10.2,4.4,0.076461,0.089595
2013-01-03 14:00:00,2013-01-03 15:00:00,,0.21,27.71,41.67,8.94,54.01,15.03,2.45,515.0,0.0,0.0,0.0,55.0,381.0,0.0,1009.6,10.7,3.6,0.076503,0.089685
2013-01-03 15:00:00,2013-01-03 16:00:00,,0.2,27.88,41.0,8.48,57.49,8.9,2.31,485.0,0.0,0.0,0.0,55.0,270.0,0.0,1009.8,10.8,3.8,0.076546,0.089775
2013-01-03 16:00:00,2013-01-03 17:00:00,,0.23,34.97,52.67,11.73,53.33,13.82,2.48,95.0,0.0,0.0,0.0,59.0,148.0,0.0,1010.1,10.3,3.7,0.076589,0.089866
2013-01-03 17:00:00,2013-01-03 18:00:00,,0.32,49.87,106.67,36.98,33.73,13.46,2.7,15.0,0.0,0.0,0.0,77.0,23.0,0.0,1010.5,8.6,1.8,0.076633,0.089958
