Start,Value,End,Pollutant,Unit
2016-01-01 01:00:00,45.125,2016-01-01 02:00:00,5,ug.m-3
2016-01-01 02:00:00,19.0,2016-01-01 03:00:00,5,ug.m-3
2016-01-01 03:00:00,9.025,2016-01-01 04:00:00,5,ug.m-3
2016-01-01 04:00:00,6.175000000000001,2016-01-01 05:00:00,5,ug.m-3
2016-01-01 05:00:00,7.6000000000000005,2016-01-01 06:00:00,5,ug.m-3
2016-01-01 06:00:00,6.175000000000001,2016-01-01 07:00:00,5,ug.m-3
2016-01-01 07:00:00,5.225,2016-01-01 08:00:00,5,ug.m-3
2016-01-01 08:00:00,5.7,2016-01-01 09:00:00,5,ug.m-3
2016-01-01 09:00:00,5.225,2016-01-01 10:00:00,5,ug.m-3
2016-01-01 10:00:00,7.125,2016-01-01 11:00:00,5,ug.m-3
2016-01-01 11:00:00,8.075,2016-01-01 12:00:00,5,ug.m-3
2016-01-01 12:00:00,5.7,2016-01-01 13:00:00,5,ug.m-3
2016-01-01 13:00:00,7.6,2016-01-01 14:00:00,5,ug.m-3
2016-01-01 14:00:00,5.225,2016-01-01 15:00:00,5,ug.m-3
2016-01-01 15:00:00,5.7,2016-01-01 16:00:00,5,ug.m-3
2016-01-01 16:00:00,9.025,2016-01-01 17:00:00,5,ug.m-3
2016-01-01 17:00:00,7.6000000000000005,2016-01-01 18:00:00,5,ug.m-3
2016-01-01 18:00:00,9.975000000000001,2016-01-01 19:00:00,5,ug.m-3
2016-01-01 19:00:00,9.5,2016-01-01 20:00:00,5,ug.m-3
2016-01-01 20:00:00,15.674999999999999,2016-01-01 21:00:00,5,ug.m-3
2016-01-01 21:00:00,11.4,2016-01-01 22:00:00,5,ug.m-3
2016-01-01 22:00:00,9.975,2016-01-01 23:00:00,5,ug.m-3
2016-01-01 23:00:00,12.825,2016-01-02 00:00:00,5,ug.m-3
2016-01-02 00:00:00,7.6,2016-01-02 01:00:00,5,ug.m-3
2016-01-02 01:00:00,7.6,2016-01-02 02:00:00,5,ug.m-3
2016-01-02 02:00:00,7.6000000000000005,2016-01-02 03:00:00,5,ug.m-3
2016-01-02 03:00:00,9.025,2016-01-02 04:00:00,5,ug.m-3
2016-01-02 04:00:00,9.5,2016-01-02 05:00:00,5,ug.m-3
2016-01-02 05:00:00,11.4,2016-01-02 06:00:00,5,ug.m-3
2016-01-02 06:00:00,23.275,2016-01-02 07:00:00,5,ug.m-3
2016-01-02 07:00:00,23.75,2016-01-02 08:00:00,5,ug.m-3
2016-01-02 08:00:00,20.9,2016-01-02 09:00:00,5,ug.m-3
2016-01-02 09:00:00,21.375,2016-01-02 10:00:00,5,ug.m-3
2016-01-02 10:00:00,15.675,2016-01-02 11:00:00,5,ug.m-3
2016-01-02 11:00:00,19.95,2016-01-02 12:00:00,5,ug.m-3
2016-01-02 12:00:00,19.0,2016-01-02 13:00:00,5,ug.m-3
2016-01-02 13:00:00,19.950000000000003,2016-01-02 14:00:00,5,ug.m-3
2016-01-02 14:00:00,12.35,2016-01-02 15:00:00,5,ug.m-3
2016-01-02 15:00:00,21.375,2016-01-02 16:00:00,5,ug.m-3
2016-01-02 16:00:00,20.9,2016-01-02 17:00:00,5,ug.m-3
2016-01-02 17:00:00,22.325000000000003,2016-01-02 18:00:00,5,ug.m-3
2016-01-02 18:00:00,29.925,2016-01-02 19:00:00,5,ug.m-3
2016-01-02 19:00:00,24.225,2016-01-02 20:00:00,5,ug.m-3
2016-01-02 20:00:00,19.475,2016-01-02 21:00:00,5,ug.m-3
2016-01-02 21:00:00,20.9,2016-01-02 22:00:00,5,ug.m-3
2016-01-02 22:00:00,27.075,2016-01-02 23:00:00,5,ug.m-3
2016-01-02 23:00:00,22.325,2016-01-03 00:00:00,5,ug.m-3
2016-01-03 00:00:00,17.1,2016-01-03 01:00:00,5,ug.m-3
2016-01-03 01:00:00,18.049999999999997,2016-01-03 02:00:00,5,ug.m-3
