Start,Value,End,Pollutant,Unit
2021-08-23 01:00:00,-999.0,2021-08-23 02:00:00,6001,ug.m-3
2021-08-23 02:00:00,-999.0,2021-08-23 03:00:00,6001,ug.m-3
2021-08-23 03:00:00,-999.0,2021-08-23 04:00:00,6001,ug.m-3
2021-08-23 04:00:00,-999.0,2021-08-23 05:00:00,6001,ug.m-3
2021-08-23 05:00:00,-999.0,2021-08-23 06:00:00,6001,ug.m-3
2021-08-23 06:00:00,-999.0,2021-08-23 07:00:00,6001,ug.m-3
2021-08-23 07:00:00,-999.0,2021-08-23 08:00:00,6001,ug.m-3
2021-08-23 08:00:00,-999.0,2021-08-23 09:00:00,6001,ug.m-3
2021-08-23 09:00:00,-999.0,2021-08-23 10:00:00,6001,ug.m-3
2021-08-23 10:00:00,-999.0,2021-08-23 11:00:00,6001,ug.m-3
2021-08-23 11:00:00,8.01,2021-08-23 12:00:00,6001,ug.m-3
2021-08-23 12:00:00,7.39,2021-08-23 13:00:00,6001,ug.m-3
2021-08-23 13:00:00,7.02,2021-08-23 14:00:00,6001,ug.m-3
2021-08-23 14:00:00,6.51,2021-08-23 15:00:00,6001,ug.m-3
2021-08-23 15:00:00,6.78,2021-08-23 16:00:00,6001,ug.m-3
2021-08-23 16:00:00,7.03,2021-08-23 17:00:00,6001,ug.m-3
2021-08-23 17:00:00,8.63,2021-08-23 18:00:00,6001,ug.m-3
2021-08-23 18:00:00,9.71,2021-08-23 19:00:00,6001,ug.m-3
2021-08-23 19:00:00,9.61,2021-08-23 20:00:00,6001,ug.m-3
2021-08-23 20:00:00,10.36,2021-08-23 21:00:00,6001,ug.m-3
2021-08-23 21:00:00,10.46,2021-08-23 22:00:00,6001,ug.m-3
2021-08-23 22:00:00,11.05,2021-08-23 23:00:00,6001,ug.m-3
2021-08-23 23:00:00,10.99,2021-08-24 00:00:00,6001,ug.m-3
2021-08-24 00:00:00,9.4,2021-08-24 01:00:00,6001,ug.m-3
2021-08-24 01:00:00,8.31,2021-08-24 02:00:00,6001,ug.m-3
2021-08-24 02:00:00,7.8,2021-08-24 03:00:00,6001,ug.m-3
2021-08-24 03:00:00,7.23,2021-08-24 04:00:00,6001,ug.m-3
2021-08-24 04:00:00,7.13,2021-08-24 05:00:00,6001,ug.m-3
2021-08-24 05:00:00,6.15,2021-08-24 06:00:00,6001,ug.m-3
