DATAFLOW;LAST UPDATE;freq;indic_ur;cities;TIME_PERIOD;OBS_VALUE;OBS_FLAG;CONF_STATUS
ESTAT:URB_CPOP1(1.0);12/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2013;3207247;;
ESTAT:URB_CPOP1(1.0);13/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2014;3165235;;
ESTAT:URB_CPOP1(1.0);14/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2015;4852911;b;
ESTAT:URB_CPOP1(1.0);15/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2016;4878277;;
ESTAT:URB_CPOP1(1.0);16/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2017;4904291;;
ESTAT:URB_CPOP1(1.0);17/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2018;4955432;;
ESTAT:URB_CPOP1(1.0);18/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2019;5012504;;
ESTAT:URB_CPOP1(1.0);19/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2020;5098717;;
ESTAT:URB_CPOP1(1.0);20/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2021;5055735;;
ESTAT:URB_CPOP1(1.0);21/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2022;5030132;;
ESTAT:URB_CPOP1(1.0);22/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2023;5115272;;
ESTAT:URB_CPOP1(1.0);23/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2024;4501429;;
ESTAT:URB_CPOP1(1.0);24/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2013;3190951;;
ESTAT:URB_CPOP1(1.0);25/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2014;3176357;;
ESTAT:URB_CPOP1(1.0);26/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2015;3610906;b;
ESTAT:URB_CPOP1(1.0);27/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2016;3624554;;
ESTAT:URB_CPOP1(1.0);28/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2017;3648483;;
ESTAT:URB_CPOP1(1.0);29/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2018;3665687;;
ESTAT:URB_CPOP1(1.0);30/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2019;3701270;;
ESTAT:URB_CPOP1(1.0);01/12/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2020;3755512;;
ESTAT:URB_CPOP1(1.0);02/12/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2021;3719096;;
ESTAT:URB_CPOP1(1.0);03/12/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2022;3720333;;
ESTAT:URB_CPOP1(1.0);04/12/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2023;3767382;;
ESTAT:URB_CPOP1(1.0);05/12/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2024;2658830;;
ESTAT:URB_CPOP1(1.0);06/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2013;1375241;;
ESTAT:URB_CPOP1(1.0);07/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2014;1379510;;
ESTAT:URB_CPOP1(1.0);08/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2015;1383908;;
ESTAT:URB_CPOP1(1.0);09/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2016;1388368;;
ESTAT:URB_CPOP1(1.0);10/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2017;1386992;;
ESTAT:URB_CPOP1(1.0);11/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2018;1393606;;
ESTAT:URB_CPOP1(1.0);12/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2019;1403247;;
ESTAT:URB_CPOP1(1.0);13/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2020;1417464;;
ESTAT:URB_CPOP1(1.0);14/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2021;1408030;;
ESTAT:URB_CPOP1(1.0);15/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2022;1414213;;
ESTAT:URB_CPOP1(1.0);16/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2023;1439503;;
ESTAT:URB_CPOP1(1.0);17/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2024;1474632;;
ESTAT:URB_CPOP1(1.0);18/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2013;879520;;
ESTAT:URB_CPOP1(1.0);19/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2014;880634;;
ESTAT:URB_CPOP1(1.0);20/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2015;881439;;
ESTAT:URB_CPOP1(1.0);21/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2016;879806;;
ESTAT:URB_CPOP1(1.0);22/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2017;879624;;
ESTAT:URB_CPOP1(1.0);23/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2018;879870;;
ESTAT:URB_CPOP1(1.0);24/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2019;880726;;
ESTAT:URB_CPOP1(1.0);25/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2020;884899;;
ESTAT:URB_CPOP1(1.0);26/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2021;878677;;
ESTAT:URB_CPOP1(1.0);27/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2022;876754;;
